Item 0:	Dwarf remains
Item 1:	Toolkit
Item 2:	Cannonball
Item 3:	Nulodion's notes
Item 4:	Ammo mould
Item 5:	Instruction manual
Item 6:	Cannon base
Item 7:	null
Item 8:	Cannon stand
Item 9:	null
Item 10:	Cannon barrels
Item 11:	null
Item 12:	Cannon furnace
Item 13:	null
Item 14:	Railing
Item 15:	Holy table napkin
Item 16:	Magic whistle
Item 17:	Grail bell
Item 18:	Magic gold feather
Item 19:	Holy grail
Item 20:	White cog
Item 21:	Black cog
Item 22:	Blue cog
Item 23:	Red cog
Item 24:	Rat poison
Item 25:	Red vine worm
Item 26:	Fishing trophy
Item 27:	Fishing pass
Item 28:	Insect repellent
Item 29:	Tinderbox
Item 30:	Bucket of wax
Item 31:	Tinderbox
Item 32:	Lit black candle
Item 33:	Lit candle
Item 34:	Lit candle
Item 35:	Excalibur
Item 36:	Candle
Item 37:	null
Item 38:	Black candle
Item 39:	Bronze arrowtips
Item 40:	Iron arrowtips
Item 41:	Steel arrowtips
Item 42:	Mithril arrowtips
Item 43:	Adamant arrowtips
Item 44:	Rune arrowtips
Item 45:	Opal bolt tips
Item 46:	Pearl bolt tips
Item 47:	Barb bolttips
Item 48:	Longbow (u)
Item 49:	null
Item 50:	Shortbow (u)
Item 51:	null
Item 52:	Arrow shaft
Item 53:	Headless arrow
Item 54:	Oak shortbow (u)
Item 55:	null
Item 56:	Oak longbow (u)
Item 57:	null
Item 58:	Willow longbow (u)
Item 59:	null
Item 60:	Willow shortbow (u)
Item 61:	null
Item 62:	Maple longbow (u)
Item 63:	null
Item 64:	Maple shortbow (u)
Item 65:	null
Item 66:	Yew longbow (u)
Item 67:	null
Item 68:	Yew shortbow (u)
Item 69:	null
Item 70:	Magic longbow (u)
Item 71:	null
Item 72:	Magic shortbow (u)
Item 73:	null
Item 74:	Khazard helmet
Item 75:	Khazard armour
Item 76:	Khazard cell keys
Item 77:	Khali brew
Item 78:	Ice arrows
Item 79:	null
Item 80:	null
Item 81:	null
Item 82:	null
Item 83:	Lever
Item 84:	Staff of armadyl
Item 85:	Shiny key
Item 86:	Pendant of lucien
Item 87:	Armadyl pendant
Item 88:	Boots of lightness
Item 89:	Boots of lightness
Item 90:	Child's blanket
Item 91:	Guam potion (unf)
Item 92:	null
Item 93:	Marrentill potion (unf)
Item 94:	null
Item 95:	Tarromin potion (unf)
Item 96:	null
Item 97:	Harralander potion (unf)
Item 98:	null
Item 99:	Ranarr potion (unf)
Item 100:	null
Item 101:	Irit potion (unf)
Item 102:	null
Item 103:	Avantoe potion (unf)
Item 104:	null
Item 105:	Kwuarm potion (unf)
Item 106:	null
Item 107:	Cadantine potion (unf)
Item 108:	null
Item 109:	Dwarf weed potion (unf)
Item 110:	null
Item 111:	Torstol potion (unf)
Item 112:	null
Item 113:	Strength potion (4)
Item 114:	null
Item 115:	Strength potion (3)
Item 116:	null
Item 117:	Strength potion (2)
Item 118:	null
Item 119:	Strength potion (1)
Item 120:	null
Item 121:	Attack potion (3)
Item 122:	null
Item 123:	Attack potion (2)
Item 124:	null
Item 125:	Attack potion (1)
Item 126:	null
Item 127:	Restore potion (3)
Item 128:	null
Item 129:	Restore potion (2)
Item 130:	null
Item 131:	Restore potion (1)
Item 132:	null
Item 133:	Defence potion (3)
Item 134:	null
Item 135:	Defence potion (2)
Item 136:	null
Item 137:	Defence potion (1)
Item 138:	null
Item 139:	Prayer potion (3)
Item 140:	null
Item 141:	Prayer potion (2)
Item 142:	null
Item 143:	Prayer potion (1)
Item 144:	null
Item 145:	Super attack (3)
Item 146:	null
Item 147:	Super attack (2)
Item 148:	null
Item 149:	Super attack (1)
Item 150:	null
Item 151:	Fishing potion (3)
Item 152:	null
Item 153:	Fishing potion (2)
Item 154:	null
Item 155:	Fishing potion (1)
Item 156:	null
Item 157:	Super strength (3)
Item 158:	null
Item 159:	Super strength (2)
Item 160:	null
Item 161:	Super strength (1)
Item 162:	null
Item 163:	Super defence (3)
