shop [0, Zealusion's Melee Store]
item [10828, inf]//helm of neitiznot
item [1725, inf] //amulet of strength
item [1127, inf] //rune platebody
item [1079, inf] //rune platelegs
item [11732, inf] //dragon boots
item [6737, inf] //berserker ring
item [6585, inf] //amulet of fury
item [10551, inf] //fighter torso
item [11724, inf] //bandos chestplate
item [11726, inf] //bandos tassets
item [21787, inf] //steadfast boots
item [20072, inf] //dragon defender
item [11283, inf] //dragonfire shield
item [4716, inf] //dharok's helm
item [4720, inf] //dharok's platebody
item [4722, inf] //dharok's platelegs
item [4718, inf] //dharok's greataxe
item [4753, inf] //verac's helm
item [4757, inf] //verac's brassard
item [4759, inf] //verac's plateskirt
item [4755, inf] //verac's flail
item [4745, inf] //torag's helm
item [4749, inf] //torag's platebody
item [4751, inf] //torag's platelegs
item [4724, inf] //guthan's helm
item [4728, inf] //guthan's platebody
item [4730, inf] //guthan's chainskirt
item [4087, inf] //dragon platelegs
item [4151, inf] //abyssal whip
item [21371, inf] //abyssal vine whip
item [4153, inf[ //granite maul
item [5698, inf] //dragon dagger (p++)
item [1434, inf] //dragon mace
item [1305, inf] //dragon longsword
item [4587, inf] //dragon scimitar
item [19780, inf] //korasi
item [11730, inf] //saradomin sword
item [11694, inf] //armadyl godsword
item [11696, inf] //bandos godsword
item [11700, inf] //zamorak godsword
item [11698, inf] //saradomin godsword

shop [1, Zealusion's Range Store]
item [3749, inf] //archer helm
item [2503, inf] //black d'hide body
item [2497, inf] //black d'hide chaps
item [6328, inf] //snakeskin boots
item [21790, inf] //glaiven boots
item [4732, inf] //karil's coif
item [4736, inf] //karil's top
item [4738, inf] //karil's skirt
item [4734, inf] //karil's crossbow
item [4740, inf] //bolt rack
item [11718, inf] //armadyl helmet
item [11720, inf] //armadyl chestplate
item [11722, inf] //armadyl chainskirt
item [10499, inf] //Ava's accumulator
item [15126, inf] //amulet of ranging
item [2581, inf] //robin hood hat
item [2577, inf] //ranger boots
item [6733, inf] //archers' ring
item [13744, inf] //spectral spirit shield
item [861, inf] //magic shortbow
item [11235, inf] //dark bow
item [892, inf] //rune arrow
item [11212, inf] //dragon arrow
item [9185, inf] //rune crossbow
item [9244, inf] //dragon bolts (e)
item [9243, inf] //diamond bolts (e)
item [9245, inf] //onyx bolts (e)
item [15241, inf] //hand cannon
item [15243, inf] //hand cannon shot
item [11230, inf] //oDragon darts

shop [2, Zealusion's Magic Store]
item [4708, inf] //ahrim's hood
item [4712, inf] //ahrim's robe top
item [4714, inf] //ahrim's robe skirt
item [4710, inf] //ahrim's staff
item [3755, inf] //farseer helm
item [4091, inf] //mystic robe top
item [4093, inf] //mystic robe bottom
item [4097, inf] //mystic boots
item [6918, inf] //infinity hat
item [6916, inf] //infinity top
item [6924, inf] //infinity bottoms
item [6922, inf] //infinity gloves
item [6920, inf] //infinity boots
item [21793, inf] //ragefire boots
item [15486, inf] //staff of light
item [6914, inf] //master wand
item [13738, inf] //arcane spirit shield
item [6889, inf] //mages' book
item [3842, inf] //unholy book
item [560, inf] //death rune
item [565, inf] //blood rune
item [9075, inf] //astral rune
item [566, inf] //soul rune
item [555, inf] //water rune
item [557, inf] //earth rune
item [556, inf] //air rune
item [554, inf] //fire rune
item [2413, inf] //guthix cape
item [2416, inf] //guthix staff
item [2414, inf] //zamorak cape
item [2417, inf] //zamorak staff
item [2412, inf] //saradomin cape
item [2415, inf] //saradomin staff
item [6731, inf] //seers' ring
item [18335, inf] //arcane stream necklace
item [18346, inf] //tome of frost


shop [3, Potions and Food]
item [2436, inf] //super attack
item [2440, inf] //super strength
item [2442, inf] //super defence
item [2444, inf] //ranging potion
item [3040, inf] //magic potion
item [15308, inf] //extreme attack
item [15312, inf] //extreme strength
item [15316, inf] //extreme defence
item [15324, inf] //extreme ranging
item [15320, inf] //extreme magic
item [15332, inf] //overload
item [6685, inf] //saradomin brew
item [3024, inf] //super restore
item [2434, inf] //prayer potion
item [15328, inf] //super prayer
item [385, inf] //shark
item [15272, inf] //rocktail
item [19949, inf] //juju gumbo
item [391, inf] //manta ray
item [397, inf] //sea turtle

shop [4, Zealusion's Donator Store]
item [13740, inf] //divine spirit shield
item [13742, inf] //elysian spirit shield
item [18349, inf] //chaotic rapier
item [18353, inf] //chaotic maul
item [18355, inf] //chaotic staff
item [18351, inf] //chaotic longsword
item [18357, inf] //chaotic crossbow
